name,year,date,location,participants,outcome
Battle of Hastings,1066,14 October 1066,"Senlac Hill, near Hastings, England",Norman forces vs Anglo-Saxon forces,Norman victory; William the Conqueror becomes King of England
Battle of Bouvines,1214,27 July 1214,"Bouvines, Flanders",Kingdom of France vs Holy Roman Empire and England,French victory; Consolidation of French monarchy
Battle of Crécy,1346,26 August 1346,"Crécy-en-Ponthieu, France",Kingdom of England vs Kingdom of France,English victory; Demonstrated effectiveness of longbow
Battle of Poitiers,1356,19 September 1356,"Near Poitiers, France",Kingdom of England vs Kingdom of France,English victory; King John II of France captured
Battle of Agincourt,1415,25 October 1415,"Azincourt, Pas-de-Calais, France",Kingdom of England vs Kingdom of France,English victory; Major English success in Hundred Years' War
Siege of Orléans,1429,12 October 1428 – 8 May 1429,"Orléans, France",Kingdom of France vs Kingdom of England,French victory; Joan of Arc's first major military success
Battle of Formigny,1450,15 April 1450,"Formigny, Normandy, France",Kingdom of France vs Kingdom of England,French victory; Reconquest of Normandy
Battle of Castillon,1453,17 July 1453,"Castillon-la-Bataille, Gascony, France",Kingdom of France vs Kingdom of England,French victory; End of Hundred Years' War
Battle of Barnet,1471,14 April 1471,"Barnet, Hertfordshire, England",Yorkists vs Lancastrians,Yorkist victory; Wars of the Roses
Battle of Tewkesbury,1471,4 May 1471,"Tewkesbury, Gloucestershire, England",Yorkists vs Lancastrians,Yorkist victory; Death of Prince Edward
Battle of Bosworth Field,1485,22 August 1485,"Near Market Bosworth, Leicestershire, England",Tudor forces vs Yorkist forces,Tudor victory; Richard III killed; End of Wars of the Roses
Battle of Flodden,1513,9 September 1513,"Branxton, Northumberland, England",Kingdom of England vs Kingdom of Scotland,English victory; James IV of Scotland killed
Battle of Pavia,1525,24 February 1525,"Pavia, Italy",Holy Roman Empire vs Kingdom of France,Imperial victory; Francis I of France captured
Battle of Gravelines,1558,13 July 1558,"Gravelines, France",Spanish Empire vs Kingdom of France,Spanish victory
Spanish Armada,1588,July–August 1588,English Channel,Kingdom of England vs Spanish Empire,English victory; Spanish invasion repelled
