name,year,date,location,participants,outcome
Battle of Agincourt,1415,25 October 1415,"Agincourt, Pas-de-Calais, France",Kingdom of England vs Kingdom of France,English victory
Battle of Castillon,1453,17 July 1453,"Castillon-la-Bataille, Gascony, France",Kingdom of France vs Kingdom of England,French victory; End of Hundred Years' War
Siege of Constantinople,1453,6 April – 29 May 1453,"Constantinople, Byzantine Empire",Ottoman Empire vs Byzantine Empire,Ottoman victory; Fall of Constantinople
Battle of Formigny,1450,15 April 1450,"Formigny, Normandy, France",Kingdom of France vs Kingdom of England,French victory
Battle of Tannenberg,1410,15 July 1410,"Near Grunwald, Poland",Polish-Lithuanian forces vs Teutonic Knights,Polish-Lithuanian victory
Battle of Blenheim,1704,13 August 1704,"Blindheim, Bavaria",Grand Alliance vs France and Bavaria,Grand Alliance victory
Battle of Malplaquet,1709,11 September 1709,"Near Mons, Spanish Netherlands",Grand Alliance vs France,Pyrrhic Allied victory
Battle of Poltava,1709,8 July 1709,"Poltava, Ukraine",Russia vs Sweden,Decisive Russian victory
Battle of Ramillies,1706,23 May 1706,"Ramillies, Spanish Netherlands",Grand Alliance vs France,Grand Alliance victory
Battle of Oudenarde,1708,11 July 1708,"Oudenaarde, Belgium",Grand Alliance vs France,Grand Alliance victory
Battle of the Somme,1916,1 July – 18 November 1916,"Somme River, France",British and French vs German Empire,Indecisive; Over 1 million casualties
Battle of Verdun,1916,21 February – 18 December 1916,"Verdun, France",France vs German Empire,French victory; 700000+ casualties
Battle of Passchendaele,1917,31 July – 10 November 1917,"Ypres, Belgium",British Empire vs German Empire,Allied victory; 500000+ casualties
Battle of Cambrai,1917,20 November – 7 December 1917,"Cambrai, France",British vs German Empire,Initial British success then German counterattack
Battle of Mons,1914,23 August 1914,"Mons, Belgium",British Expeditionary Force vs German Empire,German tactical victory
First Battle of the Marne,1914,5–12 September 1914,"Marne River, France",French and British vs German Empire,Allied victory; Halted German advance
Battle of Tannenberg,1914,26–30 August 1914,"East Prussia",German Empire vs Russian Empire,Decisive German victory
Battle of Jutland,1916,31 May – 1 June 1916,North Sea,British Grand Fleet vs German High Seas Fleet,Indecisive; British strategic victory
Battle of Gallipoli,1915,19 February 1915 – 9 January 1916,"Gallipoli Peninsula, Ottoman Empire",British Empire and France vs Ottoman Empire,Ottoman victory
Battle of Caporetto,1917,24 October – 19 November 1917,"Caporetto, Italy",Austria-Hungary and Germany vs Italy,Central Powers victory
